id,text_dialect_raw,text_dialect_norm,uncertainty_score,novelty_score,priority_score,is_round_zero
pool_10,सैंपल पूल वाक्य 10 dialect text variant,सैंपल पूल वाक्य 10 dialect text variant,0.7882,0.0,0.7882,True
pool_12,सैंपल पूल वाक्य 12 dialect text variant,सैंपल पूल वाक्य 12 dialect text variant,0.7882,0.0,0.7882,True
pool_13,सैंपल पूल वाक्य 13 dialect text variant,सैंपल पूल वाक्य 13 dialect text variant,0.7882,0.0,0.7882,True
pool_14,सैंपल पूल वाक्य 14 dialect text variant,सैंपल पूल वाक्य 14 dialect text variant,0.7882,0.0,0.7882,True
pool_15,सैंपल पूल वाक्य 15 dialect text variant,सैंपल पूल वाक्य 15 dialect text variant,0.7882,0.0,0.7882,True
pool_16,सैंपल पूल वाक्य 16 dialect text variant,सैंपल पूल वाक्य 16 dialect text variant,0.7882,0.0,0.7882,True
pool_17,सैंपल पूल वाक्य 17 dialect text variant,सैंपल पूल वाक्य 17 dialect text variant,0.7882,0.0,0.7882,True
pool_18,सैंपल पूल वाक्य 18 dialect text variant,सैंपल पूल वाक्य 18 dialect text variant,0.7882,0.0,0.7882,True
pool_19,सैंपल पूल वाक्य 19 dialect text variant,सैंपल पूल वाक्य 19 dialect text variant,0.7882,0.0,0.7882,True
pool_20,सैंपल पूल वाक्य 20 dialect text variant,सैंपल पूल वाक्य 20 dialect text variant,0.7882,0.0,0.7882,True
pool_21,सैंपल पूल वाक्य 21 dialect text variant,सैंपल पूल वाक्य 21 dialect text variant,0.7882,0.0,0.7882,True
pool_23,सैंपल पूल वाक्य 23 dialect text variant,सैंपल पूल वाक्य 23 dialect text variant,0.7882,0.0,0.7882,True
pool_24,सैंपल पूल वाक्य 24 dialect text variant,सैंपल पूल वाक्य 24 dialect text variant,0.7882,0.0,0.7882,True
pool_25,सैंपल पूल वाक्य 25 dialect text variant,सैंपल पूल वाक्य 25 dialect text variant,0.7882,0.0,0.7882,True
pool_26,सैंपल पूल वाक्य 26 dialect text variant,सैंपल पूल वाक्य 26 dialect text variant,0.7882,0.0,0.7882,True
pool_27,सैंपल पूल वाक्य 27 dialect text variant,सैंपल पूल वाक्य 27 dialect text variant,0.7882,0.0,0.7882,True
pool_28,सैंपल पूल वाक्य 28 dialect text variant,सैंपल पूल वाक्य 28 dialect text variant,0.7882,0.0,0.7882,True
pool_29,सैंपल पूल वाक्य 29 dialect text variant,सैंपल पूल वाक्य 29 dialect text variant,0.7882,0.0,0.7882,True
